ambientacion_universitaria	Correlativas Obligatorias: Ninguna Correlativas Aconsejadas: Ninguna 	Correlativas Aconsejadas: Ninguna Rige: 2013 
ambiente_fisico		
bioestadistica_i	Correlativas Obligatorias: Matemática I Correlativas Aconsejadas: 	Correlativas Aconsejadas: Rige: 2015 
bioestadistica_ii	Correlativas Obligatorias: Bioestadística Correlativas Aconsejadas 	Correlativas Aconsejadas Rige: 2015 
biogeografia	Correlativas Obligatorias: 	Correlativas Aconsejadas: Rige; 2015 
biologia_celular_y_molecular		
biologia	Correlativas Obligatorias: 	Correlativas Aconsejadas: 
diversidad_biologica_i		
diversidad_biologica_ii		
diversidad_biologica_iii		
diversidad_biologica_iv		
ecologia_y_conservacion		
epistemologia_y_metodologia_de_la_ciencia	Correlativas Obligatorias: Biología Ciclo de Introducción a los estudios universitarios Ambientación Universitaria Ciclo de Introducción a los estudios universitarios 	Correlativas Aconsejadas: Rige: 2015 
fisica_i	Correlativas Obligatorias: 	Correlativas Aconsejadas: Rige: 2015 
fisica_ii	Correlativas Obligatorias: 	Correlativas Aconsejadas Rige: 201 5 
fisiologia_animal	Correlativas Obligatorias: 	Correlativas Aconsejadas: 
fisiologia_vegetal	Correlativas Obligatorias: 	
fundamentos_de_evolucion	Correlativas Obligatorias 	Correlativas Aconsejadas Rige 2015 
genetica		
genetica_de_poblaciones_y_evolucion	Correlativas Obligatorias: 	Correlativas Aconsejadas: Rige:2015 
ingles	Correlativas Obligatorias: 	Correlativas Aconsejadas: Rige: 2015 
introduccion_a_la_biologia		
legislacion_en_biologia		
matematica	Correlativas Obligatorias: 	Correlativas Aconsejadas: 
matematica_i	Correlativas Obligatorias: 	Correlativas Aconsejadas: Rige: 201 5 
matematica_ii	Correlativas Obligatorias: 	Correlativas Aconsejadas: Rige: 2015 
microbiologia		
modulo_de_informatica	Correlativas Obligatorias: Correlativas Aconsejadas: 	Correlativas Aconsejadas: Rige: 2015 
morfologia_animal		
morfologia_vegetal		
problematica_ambiental		
quimica_biologica		
quimica	Correlativas Obligatorias: Ninguna Correlativas Aconsejadas: Ninguna 	Correlativas Aconsejadas: Ninguna Rige 
quimica_general		
quimica_organica	Correlativas Obligatorias: Química General Correlativas Aconsejadas: 	Correlativas Aconsejadas: 
teoria_y_metodos_taxonomicos	Correlativas Obligatorias; 	Correlativas Aconsejadas: Rige: 2015 
tesina	Correlativas Obligatorias: 	Correlativas Aconsejadas Rige:2015 
